Timestamp,Adjusted_Close,Popularity,Increment_A_C,Increment_P
2018-08-27,1927.68,43.0,22.289999999999964,4.0
2018-08-28,1932.82,43.0,5.139999999999873,0.0
2018-08-29,1998.1,44.0,65.27999999999997,1.0
2018-08-30,2002.38,43.0,4.2800000000002,-1.0
2018-08-31,2012.71,48.0,10.329999999999927,5.0
2018-09-01,2012.71,41.0,0.0,-7.0
2018-09-02,2012.71,43.0,0.0,2.0
2018-09-03,2012.71,45.0,0.0,2.0
2018-09-04,2039.51,46.0,26.799999999999955,1.0
2018-09-05,1994.82,46.0,-44.690000000000055,0.0
2018-09-06,1958.31,44.0,-36.50999999999999,-2.0
2018-09-07,1952.07,38.0,-6.240000000000009,-6.0
2018-09-08,1952.07,38.0,0.0,0.0
2018-09-09,1952.07,41.0,0.0,3.0
2018-09-10,1939.01,43.0,-13.059999999999945,2.0
2018-09-11,1987.15,43.0,48.1400000000001,0.0
2018-09-12,1990.0,42.0,2.849999999999909,-1.0
2018-09-13,1989.87,40.0,-0.13000000000010914,-2.0
2018-09-14,1970.19,37.0,-19.679999999999836,-3.0
2018-09-15,1970.19,38.0,0.0,1.0
2018-09-16,1970.19,42.0,0.0,4.0
2018-09-17,1908.03,42.0,-62.16000000000008,0.0
2018-09-18,1941.05,40.0,33.01999999999998,-2.0
2018-09-19,1926.42,40.0,-14.629999999999882,0.0
2018-09-20,1944.3,40.0,17.87999999999988,0.0
2018-09-21,1915.01,37.0,-29.289999999999964,-3.0
2018-09-22,1915.01,36.0,0.0,-1.0
2018-09-23,1915.01,40.0,0.0,4.0
2018-09-24,1934.36,41.0,19.34999999999991,1.0
2018-09-25,1974.55,40.0,40.190000000000055,-1.0
2018-09-26,1974.85,40.0,0.2999999999999545,0.0
2018-09-27,2012.98,38.0,38.13000000000011,-2.0
2018-09-28,2003.0,35.0,-9.980000000000018,-3.0
2018-09-29,2003.0,38.0,0.0,3.0
2018-09-30,2003.0,42.0,0.0,4.0
2018-10-01,2004.36,40.0,1.3599999999999,-2.0
2018-10-02,1971.31,41.0,-33.049999999999955,1.0
2018-10-03,1952.76,41.0,-18.549999999999955,0.0
2018-10-04,1909.42,39.0,-43.33999999999992,-2.0
2018-10-05,1889.65,36.0,-19.769999999999982,-3.0
2018-10-06,1889.65,38.0,0.0,2.0
2018-10-07,1889.65,42.0,0.0,4.0
2018-10-08,1864.42,40.0,-25.230000000000018,-2.0
2018-10-09,1870.32,40.0,5.899999999999864,0.0
2018-10-10,1755.25,38.0,-115.06999999999994,-2.0
2018-10-11,1719.36,34.0,-35.8900000000001,-4.0
2018-10-12,1788.61,37.0,69.25,3.0
2018-10-13,1788.61,37.0,0.0,0.0
2018-10-14,1788.61,44.0,0.0,7.0
2018-10-15,1760.95,40.0,-27.659999999999854,-4.0
2018-10-16,1819.96,40.0,59.00999999999999,0.0
2018-10-17,1831.73,40.0,11.769999999999982,0.0
2018-10-18,1770.72,37.0,-61.00999999999999,-3.0
2018-10-19,1764.03,36.0,-6.690000000000055,-1.0
2018-10-20,1764.03,39.0,0.0,3.0
2018-10-21,1764.03,41.0,0.0,2.0
2018-10-22,1789.3,40.0,25.269999999999982,-1.0
2018-10-23,1768.7,39.0,-20.59999999999991,-1.0
2018-10-24,1664.2,38.0,-104.5,-1.0
2018-10-25,1782.17,39.0,117.97000000000003,1.0
2018-10-26,1642.81,37.0,-139.36000000000013,-2.0
2018-10-27,1642.81,40.0,0.0,3.0
2018-10-28,1642.81,43.0,0.0,3.0
2018-10-29,1538.88,44.0,-103.92999999999984,1.0
2018-10-30,1530.42,40.0,-8.460000000000036,-4.0
2018-10-31,1598.01,34.0,67.58999999999992,-6.0
2018-11-01,1665.53,43.0,67.51999999999998,9.0
2018-11-02,1665.53,40.0,0.0,-3.0
2018-11-03,1665.53,38.0,0.0,-2.0
2018-11-04,1665.53,45.0,0.0,7.0
2018-11-05,1627.8,42.0,-37.73000000000002,-3.0
2018-11-06,1642.81,43.0,15.009999999999991,1.0
2018-11-07,1755.49,42.0,112.68000000000006,-1.0
2018-11-08,1754.91,41.0,-0.5799999999999272,-1.0
2018-11-09,1712.43,41.0,-42.48000000000002,0.0
2018-11-10,1712.43,44.0,0.0,3.0
2018-11-11,1712.43,51.0,0.0,7.0
2018-11-12,1636.85,45.0,-75.58000000000015,-6.0
2018-11-13,1631.17,48.0,-5.679999999999836,3.0
2018-11-14,1599.01,46.0,-32.16000000000008,-2.0
2018-11-15,1619.44,47.0,20.430000000000064,1.0
2018-11-16,1593.41,47.0,-26.029999999999973,0.0
2018-11-17,1593.41,52.0,0.0,5.0
2018-11-18,1593.41,64.0,0.0,12.0
2018-11-19,1512.29,81.0,-81.12000000000012,17.0
2018-11-20,1495.46,74.0,-16.829999999999927,-7.0
2018-11-21,1516.73,72.0,21.269999999999982,-2.0
2018-11-22,1516.73,80.0,0.0,8.0
2018-11-23,1502.06,100.0,-14.670000000000073,20.0
2018-11-24,1502.06,67.0,0.0,-33.0
2018-11-25,1502.06,68.0,0.0,1.0
2018-11-26,1581.33,67.0,79.26999999999998,-1.0
2018-11-27,1581.42,54.0,0.09000000000014552,-13.0
2018-11-28,1677.75,51.0,96.32999999999993,-3.0
2018-11-29,1673.57,49.0,-4.180000000000064,-2.0
2018-11-30,1690.17,47.0,16.600000000000136,-2.0
2018-12-01,1690.17,49.0,0.0,2.0
2018-12-02,1690.17,53.0,0.0,4.0
2018-12-03,1772.36,52.0,82.18999999999983,-1.0
2018-12-04,1668.4,53.0,-103.95999999999981,1.0
2018-12-05,1668.4,52.0,0.0,-1.0
2018-12-06,1699.19,55.0,30.789999999999964,3.0
2018-12-07,1629.13,55.0,-70.05999999999995,0.0
2018-12-08,1629.13,55.0,0.0,0.0
2018-12-09,1629.13,61.0,0.0,6.0
2018-12-10,1641.03,60.0,11.899999999999864,-1.0
2018-12-11,1643.24,62.0,2.2100000000000364,2.0
2018-12-12,1663.54,60.0,20.299999999999955,-2.0
2018-12-13,1658.38,59.0,-5.1599999999998545,-1.0
2018-12-14,1591.91,57.0,-66.47000000000003,-2.0
2018-12-15,1591.91,61.0,0.0,4.0
2018-12-16,1591.91,67.0,0.0,6.0
2018-12-17,1520.91,65.0,-71.0,-2.0
2018-12-18,1551.48,63.0,30.569999999999936,-2.0
2018-12-19,1495.08,62.0,-56.40000000000009,-1.0
2018-12-20,1460.83,57.0,-34.25,-5.0
2018-12-21,1377.45,51.0,-83.37999999999988,-6.0
2018-12-22,1377.45,44.0,0.0,-7.0
2018-12-23,1377.45,55.0,0.0,11.0
2018-12-24,1343.96,46.0,-33.49000000000001,-9.0
2018-12-25,1343.96,66.0,0.0,20.0
2018-12-26,1470.9,70.0,126.94000000000005,4.0
2018-12-27,1461.64,67.0,-9.259999999999991,-3.0
2018-12-28,1478.02,60.0,16.37999999999988,-7.0
2018-12-29,1478.02,59.0,0.0,-1.0
2018-12-30,1478.02,56.0,0.0,-3.0
2018-12-31,1501.97,41.0,23.950000000000045,-15.0
2019-01-01,1501.97,84.0,0.0,43.0
2019-01-02,1539.13,100.0,37.16000000000008,16.0
2019-01-03,1500.28,94.0,-38.850000000000136,-6.0
2019-01-04,1575.39,80.0,75.11000000000013,-14.0
2019-01-05,1575.39,69.0,0.0,-11.0
2019-01-06,1575.39,84.0,0.0,15.0
2019-01-07,1629.51,93.0,54.11999999999989,9.0
2019-01-08,1656.58,85.0,27.069999999999936,-8.0
2019-01-09,1659.42,77.0,2.8400000000001455,-8.0
2019-01-10,1656.22,74.0,-3.2000000000000455,-3.0
2019-01-11,1640.56,69.0,-15.660000000000082,-5.0
2019-01-12,1640.56,74.0,0.0,5.0
2019-01-13,1640.56,78.0,0.0,4.0
2019-01-14,1617.21,72.0,-23.34999999999991,-6.0
2019-01-15,1674.56,68.0,57.34999999999991,-4.0
2019-01-16,1683.78,66.0,9.220000000000027,-2.0
2019-01-17,1693.22,62.0,9.440000000000055,-4.0
2019-01-18,1696.2,57.0,2.980000000000018,-5.0
2019-01-19,1696.2,64.0,0.0,7.0
2019-01-20,1696.2,67.0,0.0,3.0
2019-01-21,1696.2,63.0,0.0,-4.0
2019-01-22,1632.17,61.0,-64.02999999999997,-2.0
2019-01-23,1640.02,61.0,7.849999999999909,0.0
2019-01-24,1654.93,57.0,14.910000000000082,-4.0
2019-01-25,1670.57,51.0,15.639999999999873,-6.0
2019-01-26,1670.57,53.0,0.0,2.0
2019-01-27,1670.57,64.0,0.0,11.0
2019-01-28,1637.89,65.0,-32.679999999999836,1.0
